CCSDS_OMM_VERS,COMMENT,CREATION_DATE,ORIGINATOR,OBJECT_NAME,OBJECT_ID,CENTER_NAME,REF_FRAME,TIME_SYSTEM,MEAN_ELEMENT_THEORY,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT,SEMIMAJOR_AXIS,PERIOD,APOAPSIS,PERIAPSIS,OBJECT_TYPE,RCS_SIZE,COUNTRY_CODE,LAUNCH_DATE,SITE,DECAY_DATE,DECAYED,FILE,GP_ID,TLE_LINE0,TLE_LINE1,TLE_LINE2,height_km,latitude,longitude,velocity_kms,id
2.0,GENERATED VIA SPACE-TRACK.ORG API,2020-10-13T04:16:08,18 SPCS,STARLINK-30,2019-029K,EARTH,TEME,UTC,SGP4,2020-10-13T02:56:59.566560,16.43170483,0.0003711,52.9708,332.0356,120.7278,242.0157,0,U,44244,999,7775,0.0022139,0.47180237,1.2426e-05,6535.519,87.635,159.809,154.958,PAYLOAD,LARGE,US,2019-05-24,AFETR,2020-10-13,1,2850561,163365918,0 STARLINK-30,1 44244U 19029K   20287.12291165  .47180237  12426-4  22139-2 0  9995,2 44244  52.9708 332.0356 0003711 120.7278 242.0157 16.43170483 77756,,,,,5eed770f096e59000698560d
2.0,GENERATED VIA SPACE-TRACK.ORG API,2020-09-28T19:26:08,18 SPCS,STARLINK-74,2019-029BL,EARTH,TEME,UTC,SGP4,2020-09-28T18:35:08.710368,16.29892189,0.0002076,52.9971,48.1405,323.1313,37.5805,0,U,44293,999,7653,0.0024534,0.1135935,1.2115e-05,6570.966,88.349,194.195,191.467,PAYLOAD,LARGE,US,2019-05-24,AFETR,2020-09-29,1,2837086,162391575,0 STARLINK-74,1 44293U 19029BL  20272.77440637  .11359350  12115-4  24534-2 0  9995,2 44293  52.9971  48.1405 0002076 323.1313  37.5805 16.29892189 76534,,,,,5eed770f096e59000698560e
2.0,GENERATED VIA SPACE-TRACK.ORG API,2020-10-13T17:46:09,18 SPCS,STARLINK-29,2019-029J,EARTH,TEME,UTC,SGP4,2020-10-13T17:09:39.946752,16.50981164,0.0008105,52.9786,228.8138,330.1078,31.0927,0,U,44243,999,7928,0.00010982,0.11982673,1.2791e-05,6514.89,87.22,142.035,131.474,PAYLOAD,LARGE,US,2019-05-24,AFETR,2020-10-13,1,2851295,163381397,0 STARLINK-29,1 44243U 19029J   20287.71504568  .11982673  12791-4  10982-3 0  9997,2 44243  52.9786 228.8138 0008105 330.1078  31.0927 16.50981164 79283,,,,,5eed770f096e59000698560f
2.0,GENERATED VIA SPACE-TRACK.ORG API,2021-09-26T14:36:11,18 SPCS,STARLINK-76,2019-029BE,EARTH,TEME,UTC,SGP4,2021-09-26T14:04:34.023360,16.43523148,0.0003663,52.9578,116.726,96.3451,319.5267,0,U,44287,999,13263,0.0014077,0.3267113,1.2458e-05,6534.584,87.617,158.843,154.056,PAYLOAD,LARGE,US,2019-05-24,AFETR,2021-09-26,1,3129087,185524941,0 STARLINK-76,1 44287U 19029BE  21269.58650490  .32671130  12458-4  14077-2 0  9991,2 44287  52.9578 116.7260 0003663  96.3451 319.5267 16.43523148132637,,,,,5eed770f096e590006985610
2.0,GENERATED VIA SPACE-TRACK.ORG API,2020-09-02T18:57:38,18 SPCS,STARLINK-23,2019-029C,EARTH,TEME,UTC,SGP4,2020-09-02T05:50:39.789312,16.40837491,0.0004551,52.9945,186.9776,271.9057,198.4437,0,U,44237,999,7120,0.0015299,0.23336896,1.2391e-05,6541.712,87.76,166.554,160.6,PAYLOAD,LARGE,US,2019-05-24,AFETR,2020-09-02,1,2813120,160599026,0 STARLINK-23,1 44237U 19029C   20246.24351608 +.23336896 +12391-4 +15299-2 0  9992,2 44237 052.9945 186.9776 0004551 271.9057 198.4437 16.40837491071205,,,,,5eed770f096e590006985611
2.0,GENERATED VIA SPACE-TRACK.ORG API,2020-08-09T19:11:44,18 SPCS,STARLINK-22,2019-029B,EARTH,TEME,UTC,SGP4,2020-08-09T13:16:33.420576,16.42066597,0.0004178,52.9807,260.6619,316.6235,43.5158,0,U,44236,999,6921,0.0017311,0.30875389,1.2472e-05,6538.447,87.694,163.044,157.581,PAYLOAD,LARGE,US,2019-05-24,AFETR,2020-08-09,1,2798784,159069947,0 STARLINK-22,1 44236U 19029B   20222.55316459 +.30875389 +12472-4 +17311-2 0  9994,2 44236 052.9807 260.6619 0004178 316.6235 043.5158 16.42066597069218,,,,,5eed770f096e590006985612
2.0,GENERATED VIA SPACE-TRACK.ORG API,2021-04-10T10:26:10,18 SPCS,STARLINK-26,2019-029F,EARTH,TEME,UTC,SGP4,2021-04-10T10:04:00.819552,16.41561846,0.0004843,52.9634,161.2403,7.8568,353.8836,0,U,44240,999,10601,0.0012328,0.20637293,1.2492e-05,6539.788,87.721,164.82,158.486,PAYLOAD,LARGE,US,2019-05-24,AFETR,2021-04-10,1,3013724,175267022,0 STARLINK-26,1 44240U 19029F   21100.41945393  .20637293  12492-4  12328-2 0  9999,2 44240  52.9634 161.2403 0004843   7.8568 353.8836 16.41561846106011,,,,,5eed770f096e590006985613
2.0,GENERATED VIA SPACE-TRACK.ORG API,2020-09-26T00:36:08,18 SPCS,STARLINK-27,2019-029G,EARTH,TEME,UTC,SGP4,2020-09-25T23:58:24.572928,16.44528987,0.0005013,52.9952,62.9276,292.5876,67.3813,0,U,44241,999,7502,0.00090269,0.27533098,1.2522e-05,6531.919,87.563,157.058,150.509,PAYLOAD,LARGE,US,2019-05-24,AFETR,2020-09-26,1,2834145,162165742,0 STARLINK-27,1 44241U 19029G   20269.99889552  .27533098  12522-4  90269-3 0  9992,2 44241  52.9952  62.9276 0005013 292.5876  67.3813 16.44528987 75025,,,,,5eed770f096e590006985614
2.0,GENERATED VIA SPACE-TRACK.ORG API,2020-08-23T05:06:09,18 SPCS,STARLINK-58,2019-029AM,EARTH,TEME,UTC,SGP4,2020-08-23T03:09:46.298304,16.49769755,0.0010115,53.006,191.4104,188.7689,171.4914,0,U,44270,999,7027,0.0001307,0.12051508,1.2468e-05,6518.078,87.284,146.536,133.35,PAYLOAD,LARGE,US,2019-05-24,AFETR,2020-08-23,1,2806775,159934884,0 STARLINK-58,1 44270U 19029AM  20236.13178586  .12051508  12468-4  13070-3 0  9991,2 44270  53.0060 191.4104 0010115 188.7689 171.4914 16.49769755 70270,,,,,5eed770f096e590006985615
2.0,GENERATED VIA SPACE-TRACK.ORG API,2020-08-29T09:36:09,18 SPCS,TINTIN A,2018-020B,EARTH,TEME,UTC,SGP4,2020-08-29T07:40:05.480832,16.40201759,0.0015282,97.4245,260.1382,265.467,95.5903,0,U,43216,999,14020,0.0016505,0.26379725,2.565e-06,6543.402,87.794,175.267,155.268,PAYLOAD,LARGE,US,2018-02-22,AFWTR,2020-08-29,1,2810670,160342842,0 TINTIN A,1 43216U 18020B   20242.31950788  .26379725  25650-5  16505-2 0  9991,2 43216  97.4245 260.1382 0015282 265.4670  95.5903 16.40201759140202,,,,,5eed770f096e590006985616
