SatelliteState	Latitude	Longitude
SU	55.7558	37.6176
US	38.9072	-77.0369
UK	51.5074	-0.1278
CA	45.4215	-75.6972
I	41.9028	12.4964
I-INT	41.9028	12.4964
F	48.8566	2.3522
J	35.6895	139.6917
I-ESRO	41.9028	12.4964
AU	-35.2809	149.13
I-ELDO	41.9028	12.4964
D	52.52	13.405
I-NATO	41.9028	12.4964
CN	39.9042	116.4074
NL	52.3676	4.9041
E	40.4168	-3.7038
IN	28.6139	77.209
I-ESA	41.9028	12.4964
ID	-6.2088	106.8456
CSSR	50.0755	14.4378
I-EUT	41.9028	12.4964
I-ARAB	41.9028	12.4964
BR	-15.7939	-47.8828
RU	55.7558	37.6176
MX	19.4326	-99.1332
S	59.3293	18.0686
I-EUM	41.9028	12.4964
IL	31.7683	35.2137
L	49.8153	6.1296
AR	-34.6037	-58.3816
HKUK	22.3193	114.1694
PK	33.6844	73.0479
I-INM	41.9028	12.4964
CSFR	50.0755	14.4378
KR	37.5665	126.978
P	38.7169	-9.139
T	41.0082	28.9784
TR	41.0082	28.9784
HK	22.3193	114.1694
CZ	50.0755	14.4378
UA	50.4501	30.5234
CL	-33.4489	-70.6693
MY	3.139	101.6869
N	59.9139	10.7522
PH	14.5995	120.9842
EG	30.0444	31.2357
SG	1.3521	103.8198
KP	39.0392	125.7625
TW	25.033	121.5654
DK	55.6761	12.5683
ZA	-25.7461	28.1881
SA	24.7136	46.6753
UAE	24.4539	54.3773
MA	33.9716	-6.8498
DZ	36.7529	3.042
GR	37.9838	23.7275
NG	9.082	8.6753
IR	35.6892	51.389
KZ	51.1694	71.4491
BY	53.9006	27.559
CO	4.711	-74.0721
I-RASC	41.9028	12.4964
VN	21.0285	105.8542
BM	32.3078	-64.7505
VE	10.4806	-66.9036
CH	46.9481	7.4474
MU	-20.3484	57.5522
RO	44.4268	26.1025
HU	47.4979	19.0402
PL	52.2297	21.0122
AZ	40.4093	49.8671
AT	48.2082	16.3738
EC	-0.2299	-78.5249
EE	59.437	24.7536
QA	25.276	51.5217
PE	-12.0464	-77.0428
BO	-16.5	-68.15
LT	54.6872	25.2797
B	50.8503	4.3517
UY	-34.9011	-56.1645
I-EU	41.9028	12.4964
PG	-9.4438	147.1803
MC	43.7384	7.4246
LA	17.9757	102.6331
PR	18.4655	-66.1057
FI	60.1695	24.9354
NZ	-41.2865	174.7762
GH	5.6037	-0.187
MN	47.8864	106.9057
BD	23.8103	90.4125
IE	53.3498	-6.2603
SK	48.1486	17.1077
LV	56.9496	24.1052
BG	42.6977	23.3219
AO	-8.839	13.2894
KE	-1.2864	36.8172
CR	9.9281	-84.0907
BGN	42.6977	23.3219
BT	27.5142	89.639
JO	31.9539	35.9106
LK	6.9271	79.8612
NP	27.7172	85.324
RW	-1.9706	30.1044
SD	15.5007	32.5599
ET	9.0084	38.7649
GT	14.6349	-90.5069
SI	46.0569	14.5058
PY	-25.2637	-57.5759
MYM	19.745	96.1293
TN	36.8065	10.1815
KW	29.3759	47.9774
AM	40.1792	44.4991
MD	47.0105	28.8638
UG	0.3476	32.5825
ZW	-17.8249	31.0492
OM	23.588	58.3829
DJ	11.8251	42.5903
SN	14.6928	-17.4467
